⬇   5.  9.00 ★   495 votes   Maniac Mansion	available	ia	Maniac Mansion	Maniac Mansion
●   6.  9.00 ★   450 votes   Pirates!	local	/opt/media/Games/Commodore/C64 Roms/Pirates! Side 1.tap	Pirates!	Pirates!
⬇   7.  8.99 ★   409 votes   Zak McKracken and the Alien Mindbenders	available	tosec	Zak McKracken and the Alien Mindbenders	Zak McKracken and the Alien Mindbenders
⬇   8.  8.92 ★    49 votes   Bomberland	available	tosec	Bomberland	Bomberland
●   9.  8.91 ★   338 votes   Turrican II: The Final Fight	local	/opt/media/Games/Commodore/C64 Roms/Turrican II - The Final Fight.tap	Turrican II: The Final Fight	Turrican II
●  10.  8.90 ★   176 votes   Ultima IV: Quest of the Avatar	local	/opt/media/Games/Commodore/C64/_IA_downloads/Ultima IV - Quest of the Avatar (1986)(Origin Systems)(Disk 1 of 3 Side A)[cr ECA].d64	Ultima IV: Quest of the Avatar	Ultima IV
⬇  11.  8.86 ★    79 votes   Space Rogue	available	tosec	Space Rogue	Space Rogue
●  12.  8.85 ★   639 votes   IK+	local	/opt/media/Games/Commodore/C64 Roms/IK+ - International Karate + (1987)(System 3 Software LTD)(2.tap	IK+	IK+
⬇  13.  8.83 ★    40 votes   Sentinel Worlds I: Future Magic	available	tosec	Sentinel Worlds I: Future Magic	Sentinel Worlds I
●  16.  8.80 ★    65 votes   Red Storm Rising	local	/opt/media/Games/Commodore/C64 Roms/_UTA_downloads/Red_Storm_Rising_Tape_1_Side_1_-_Red_Storm_Tape.tap	Red Storm Rising	Red Storm Rising
●  17.  8.80 ★   174 votes   Wasteland	local	/opt/media/Games/Commodore/C64/_IA_downloads/Wasteland_1988_Electronic_Arts_Disk_1_of_2_Side_A.d64	Wasteland	Wasteland
●  18.  8.79 ★   553 votes   Bubble Bobble	local	/opt/media/Games/Commodore/C64 Roms/Bubble Bobble.tap	Bubble Bobble	Bubble Bobble
⬇  19.  8.79 ★    56 votes   Lords of Chaos	available	ia	Lords of Chaos	Lords of Chaos
●  20.  8.79 ★   324 votes   Turrican	local	/opt/media/Games/Commodore/C64 Roms/Turrican.tap	Turrican	Turrican
●  21.  8.77 ★   384 votes   Elite	local	/opt/media/Games/Commodore/C64 Roms/Elite.tap	Elite	Elite
●  22.  8.77 ★   512 votes   Last Ninja 2: Back with a Vengeance	local	/opt/media/Games/Commodore/C64 Roms/Last Ninja II.tap	Last Ninja 2: Back with a Vengeance	Last Ninja 2
●  23.  8.77 ★   125 votes   Ultima V: Warriors of Destiny	local	/opt/media/Games/Commodore/C64/_IA_downloads/Ultima_V_Warriors_of_Destiny_1988_Origin_Systems_Disk_1_of_4_Side_A.d64	Ultima V: Warriors of Destiny	Ultima V
●  24.  8.76 ★   422 votes   Defender of the Crown	local	/opt/media/Games/Commodore/C64 Roms/Defender of the Crown (1987)(Cinemaware)(Tape 1 of 2 Side A).tap	Defender of the Crown	Defender of the Crown
●  25.  8.76 ★   555 votes   Impossible Mission	local	/opt/media/Games/Commodore/C64 Roms/Impossible Mission.tap	Impossible Mission	Impossible Mission
●  27.  8.72 ★   361 votes   Archon: The Light and the Dark	local	/opt/media/Games/Commodore/C64 Roms/_UTA_downloads/Archon.tap	Archon: The Light and the Dark	Archon
⬇  28.  8.72 ★    54 votes   Metal Warrior 4: Agents of Metal	available	tosec	Metal Warrior 4: Agents of Metal	Metal Warrior 4
⬇  29.  8.70 ★   153 votes   Prince of Persia	available	ia	Prince of Persia	Prince of Persia
●  30.  8.70 ★   195 votes   World Class Leader Board	local	/opt/media/Games/Commodore/C64 Roms/World Class Leaderboard - Famous Courses Vol. 2 - Course C.tap	World Class Leader Board	World Class Leader Board
●  31.  8.69 ★   135 votes   Laser Squad	local	/opt/media/Games/Commodore/C64 Roms/_UTA_downloads/Laser_Squad_Side_1.tap	Laser Squad	Laser Squad
●  32.  8.68 ★   610 votes   Bruce Lee	local	/opt/media/Games/Commodore/C64 Roms/Bruce Lee.tap	Bruce Lee	Bruce Lee
●  34.  8.68 ★   365 votes   Paradroid	local	/opt/media/Games/Commodore/C64 Roms/Paradroid.tap	Paradroid	Paradroid
●  37.  8.67 ★   101 votes   Project Stealth Fighter	local	/opt/media/Games/Commodore/C64 Roms/Project Stealth Fighter Side 1 - Start.tap	Project Stealth Fighter	Project Stealth Fighter
⬇  38.  8.67 ★    69 votes   Sonic the Hedgehog	available	ia	Sonic the Hedgehog	Sonic the Hedgehog
●  39.  8.66 ★    94 votes   Exile	local	/opt/media/Games/Commodore/C64 Roms/Exile.tap	Exile	Exile
⬇  40.  8.66 ★   108 votes   Neuromancer	available	ia	Neuromancer	Neuromancer
⬇  42.  8.65 ★    54 votes   Super Boulder Dash	available	tosec	Super Boulder Dash	Super Boulder Dash
●  44.  8.64 ★    77 votes   Buck Rogers: Countdown to Doomsday	local	/opt/media/Games/Commodore/C64 Roms/Buck Rogers.tap	Buck Rogers: Countdown to Doomsday	Buck Rogers
⬇  45.  8.64 ★    53 votes   Dragon Wars	available	tosec	Dragon Wars	Dragon Wars
●  46.  8.64 ★   346 votes   Leaderboard Golf	local	/opt/media/Games/Commodore/C64 Roms/Roms Cartridges/Leaderboard Golf (1987)(Access).crt	Leaderboard Golf	Leaderboard Golf
●  47.  8.64 ★   205 votes   M.U.L.E.	local	/opt/media/Games/Commodore/C64 Roms/M.U.L.E. (1983)(Electronic Arts).tap	M.U.L.E.	M.U.L.E.
●  48.  8.64 ★   419 votes   Winter Games	local	/opt/media/Games/Commodore/C64 Roms/Winter Games.tap	Winter Games	Winter Games
●  49.  8.63 ★    89 votes   Curse of the Azure Bonds	local	/opt/media/Games/Commodore/C64/_IA_downloads/Curse of the Azure Bonds v1.1 (1989)(SSI)(Disk 1 of 3 Side A).d64	Curse of the Azure Bonds	Curse of the Azure Bonds
●  50.  8.63 ★   162 votes   Gunship	local	/opt/media/Games/Commodore/C64 Roms/Gunship Side 1.tap	Gunship	Gunship
⬇  52.  8.62 ★   108 votes   Legacy of the Ancients	available	tosec	Legacy of the Ancients	Legacy of the Ancients
⬇  53.  8.62 ★   119 votes   Ultima III: Exodus	available	tosec	Ultima III: Exodus	Ultima III
●  54.  8.61 ★   447 votes   Boulder Dash	local	/opt/media/Games/Commodore/C64 Roms/Boulder Dash.tap	Boulder Dash	Boulder Dash
⬇  55.  8.61 ★   208 votes   Project Firestart	available	tosec	Project Firestart	Project Firestart
⬇  56.  8.61 ★    71 votes   World Karate Championship	available	tosec	World Karate Championship	World Karate Championship
●  57.  8.60 ★   300 votes   Summer Games II	local	/opt/media/Games/Commodore/C64 Roms/Summer Games II Side 1.tap	Summer Games II	Summer Games II
●  58.  8.59 ★   475 votes   Great Giana Sisters, The	local	/opt/media/Games/Commodore/C64 Roms/The Great Giana Sisters.tap	Great Giana Sisters, The	Great Giana Sisters, The
⬇  60.  8.58 ★    62 votes   Legend of Blacksilver, The	available	tosec	Legend of Blacksilver, The	Legend of Blacksilver, The
●  61.  8.58 ★   118 votes   Pool of Radiance	local	/opt/media/Games/Commodore/C64/_IA_downloads/Pool_of_Radiance_1988_SSI_Side_A_Boot_cr_PW.d64	Pool of Radiance	Pool of Radiance
●  62.  8.57 ★    56 votes   Killed Until Dead	local	/opt/media/Games/Commodore/C64 Roms/Killed Until Dead.tap	Killed Until Dead	Killed Until Dead
●  63.  8.57 ★   109 votes   Leaderboard: Executive Edition	local	/opt/media/Games/Commodore/C64 Roms/Leaderboard.tap	Leaderboard: Executive Edition	Leaderboard
●  64.  8.56 ★   509 votes   Last Ninja, The	local	/opt/media/Games/Commodore/C64 Roms/Last Ninja, The (1987)(System 3 Software LTD).tap	Last Ninja, The	Last Ninja, The
⬇  65.  8.56 ★    48 votes   Magic Candle, The	available	tosec	Magic Candle, The	Magic Candle, The
●  66.  8.56 ★   110 votes   Supremacy	local	/opt/media/Games/Commodore/C64 Roms/Supremacy.tap	Supremacy	Supremacy
●  68.  8.55 ★   318 votes   International Karate	local	/opt/media/Games/Commodore/C64 Roms/International Karate Side 1.tap	International Karate	International Karate
●  69.  8.55 ★   332 votes   MicroProse Soccer	local	/opt/media/Games/Commodore/C64 Roms/Microprose Soccer (6-A-Side).tap	MicroProse Soccer	MicroProse Soccer
⬇  70.  8.55 ★    31 votes   Strike Fleet	available	ia	Strike Fleet	Strike Fleet
⬇  71.  8.54 ★   101 votes   Times of Lore	available	ia	Times of Lore	Times of Lore
●  72.  8.53 ★   127 votes   Enforcer: Fullmetal Megablaster	local	/opt/media/Games/Commodore/C64 Roms/Enforcer, The.tap	Enforcer: Fullmetal Megablaster	Enforcer
●  73.  8.53 ★   343 votes   Wizball	local	/opt/media/Games/Commodore/C64 Roms/Wizball.tap	Wizball	Wizball
●  74.  8.52 ★   193 votes   Emlyn Hughes International Soccer	local	/opt/media/Games/Commodore/C64 Roms/Emlyn Hughes International Soccer.tap	Emlyn Hughes International Soccer	Emlyn Hughes International Soccer
●  76.  8.51 ★   282 votes   World Games	local	/opt/media/Games/Commodore/C64 Roms/World Games Side 1.tap	World Games	World Games
●  77.  8.50 ★    56 votes   Lords of Conquest	local	/opt/media/Games/Commodore/C64/_IA_downloads/Lords_of_Conquest_1986_Electronic_Arts.d64	Lords of Conquest	Lords of Conquest
●  78.  8.49 ★   271 votes   Stunt Car Racer	local	/opt/media/Games/Commodore/C64 Roms/Stunt Car Racer (Kixx).tap	Stunt Car Racer	Stunt Car Racer
●  80.  8.48 ★   215 votes   Airborne Ranger	local	/opt/media/Games/Commodore/C64 Roms/Airborne Ranger Side 1.tap	Airborne Ranger	Airborne Ranger
●  81.  8.48 ★   326 votes   Way of the Exploding Fist, The	local	/opt/media/Games/Commodore/C64 Roms/The Way Of The Exploding Fist.tap	Way of the Exploding Fist, The	Way of the Exploding Fist, The
●  82.  8.47 ★   196 votes   Katakis	local	/opt/media/Games/Commodore/C64/_IA_downloads/Katakis_1988_Rainbow_Arts_cr_CPX.d64	Katakis	Katakis
●  83.  8.47 ★   184 votes   Raid on Bungeling Bay	local	/opt/media/Games/Commodore/C64 Roms/Raid On Bungeling Bay.tap	Raid on Bungeling Bay	Raid on Bungeling Bay
⬇  84.  8.47 ★    49 votes   Tass Times in Tone Town	available	ia	Tass Times in Tone Town	Tass Times in Tone Town
●  85.  8.46 ★   389 votes   California Games	local	/opt/media/Games/Commodore/C64 Roms/California Games Side 1.tap	California Games	California Games
●  86.  8.46 ★   237 votes   Creatures 2: Torture Trouble	local	/opt/media/Games/Commodore/C64 Roms/Creatures II - Torture Trouble (1992)(Thalamus)(Side A)[l Cy.tap	Creatures 2: Torture Trouble	Creatures 2
●  87.  8.46 ★   283 votes   Summer Games	local	/opt/media/Games/Commodore/C64 Roms/Summer Games.tap	Summer Games	Summer Games
●  88.  8.45 ★   175 votes   Bard's Tale, The: Tales of the Unknown	local	/opt/media/Games/Commodore/C64 Roms/Bard's Tale, The (1985)(Electronic Arts)(De)(Tape 1 of 3)[db.tap	Bard's Tale, The: Tales of the Unknown	Bard's Tale, The
⬇  89.  8.45 ★    65 votes   Champions of Krynn	available	tosec	Champions of Krynn	Champions of Krynn
●  91.  8.45 ★   240 votes   Space Taxi	local	/opt/media/Games/Commodore/C64/_IA_downloads/Space_Taxi_1984_Muse_Software_cr_GCS.d64	Space Taxi	Space Taxi
●  92.  8.44 ★   295 votes   Armalyte	local	/opt/media/Games/Commodore/C64 Roms/Armalyte - Side A.tap	Armalyte	Armalyte
●  93.  8.44 ★    61 votes   Donkey Kong Junior	local	/opt/media/Games/Commodore/C64/_IA_downloads/Donkey_Kong_Jr._19xx_-_h_1404.d64	Donkey Kong Junior	Donkey Kong Junior
●  94.  8.44 ★    32 votes   Doomdark's Revenge	local	/opt/media/Games/Commodore/C64 Roms/DoomdarksRevenge.tap	Doomdark's Revenge	Doomdark's Revenge
●  95.  8.44 ★   331 votes   H.E.R.O.	local	/opt/media/Games/Commodore/C64 Roms/H.E.R.O.tap	H.E.R.O.	H.E.R.O.
⬇  97.  8.44 ★    43 votes   Might and Magic: Book Two - Gates to Another World	available	tosec	Might and Magic: Book Two - Gates to Another World	Might and Magic
⬇  98.  8.44 ★   148 votes   Newcomer	available	tosec	Newcomer	Newcomer
●  99.  8.42 ★   153 votes   Boulder Dash II: Rockford's Revenge	local	/opt/media/Games/Commodore/C64 Roms/Boulderdash 2 - Rockford's Revenge (Prism Leisure).tap	Boulder Dash II: Rockford's Revenge	Boulder Dash II
⬇ 100.  8.42 ★    45 votes   Death Knights of Krynn	available	tosec	Death Knights of Krynn	Death Knights of Krynn
●   ·   Bards Tale 3   (downloaded)	local	/opt/media/Games/Commodore/C64/_IA_downloads/Bards Tale 3 (1988)(Electronic Arts)(Disk 1 of 2 Side A)(Boot).d64	Bards Tale 3	Bards Tale 3
