1	9.26	89	Eye of the Beholder
2	9.11	46	Metal Warrior Ultra
3	9.11	72	Steel Ranger
4	9.08	121	Sam's Journey
5	9.00	495	Maniac Mansion
6	9.00	450	Pirates!
7	8.99	409	Zak McKracken and the Alien Mindbenders
8	8.92	49	Bomberland
9	8.91	338	Turrican II: The Final Fight
10	8.90	176	Ultima IV: Quest of the Avatar
11	8.86	79	Space Rogue
12	8.85	639	IK+
13	8.83	40	Sentinel Worlds I: Future Magic
14	8.81	126	Ghosts 'n Goblins Arcade
15	8.81	31	International Karate Ultimate
16	8.80	65	Red Storm Rising
17	8.80	174	Wasteland
18	8.79	553	Bubble Bobble
19	8.79	56	Lords of Chaos
20	8.79	324	Turrican
21	8.77	384	Elite
22	8.77	512	Last Ninja 2: Back with a Vengeance
23	8.77	125	Ultima V: Warriors of Destiny
24	8.76	422	Defender of the Crown
25	8.76	555	Impossible Mission
26	8.75	51	Bruce Lee II
27	8.72	361	Archon: The Light and the Dark
28	8.72	54	Metal Warrior 4: Agents of Metal
29	8.70	153	Prince of Persia
30	8.70	195	World Class Leader Board
31	8.69	135	Laser Squad
32	8.68	610	Bruce Lee
33	8.68	84	Commando Arcade
34	8.68	365	Paradroid
35	8.68	44	Puzzle Bobble
36	8.67	95	Pig Quest, A
37	8.67	101	Project Stealth Fighter
38	8.67	69	Sonic the Hedgehog
39	8.66	94	Exile
40	8.66	108	Neuromancer
41	8.65	34	Sherwood
42	8.65	54	Super Boulder Dash
43	8.64	53	Briley Witch Chronicles
44	8.64	77	Buck Rogers: Countdown to Doomsday
45	8.64	53	Dragon Wars
46	8.64	346	Leaderboard Golf
47	8.64	205	M.U.L.E.
48	8.64	419	Winter Games
49	8.63	89	Curse of the Azure Bonds
50	8.63	162	Gunship
51	8.63	92	Knight 'n' Grail
52	8.62	108	Legacy of the Ancients
53	8.62	119	Ultima III: Exodus
54	8.61	447	Boulder Dash
55	8.61	208	Project Firestart
56	8.61	71	World Karate Championship
57	8.60	300	Summer Games II
58	8.59	475	Great Giana Sisters, The
59	8.59	58	Super Mario Bros. 64
60	8.58	62	Legend of Blacksilver, The
61	8.58	118	Pool of Radiance
62	8.57	56	Killed Until Dead
63	8.57	109	Leaderboard: Executive Edition
64	8.56	509	Last Ninja, The
65	8.56	48	Magic Candle, The
66	8.56	110	Supremacy
67	8.55	40	Hessian
68	8.55	318	International Karate
69	8.55	332	MicroProse Soccer
70	8.55	31	Strike Fleet
71	8.54	101	Times of Lore
72	8.53	127	Enforcer: Fullmetal Megablaster
73	8.53	343	Wizball
74	8.52	193	Emlyn Hughes International Soccer
75	8.51	43	Soul Force
76	8.51	282	World Games
77	8.50	56	Lords of Conquest
78	8.49	271	Stunt Car Racer
79	8.49	41	Zeta Wing II
80	8.48	215	Airborne Ranger
81	8.48	326	Way of the Exploding Fist, The
82	8.47	196	Katakis
83	8.47	184	Raid on Bungeling Bay
84	8.47	49	Tass Times in Tone Town
85	8.46	389	California Games
86	8.46	237	Creatures 2: Torture Trouble
87	8.46	283	Summer Games
88	8.45	175	Bard's Tale, The: Tales of the Unknown
89	8.45	65	Champions of Krynn
90	8.45	38	Lester
91	8.45	240	Space Taxi
92	8.44	295	Armalyte
93	8.44	61	Donkey Kong Junior
94	8.44	32	Doomdark's Revenge
95	8.44	331	H.E.R.O.
96	8.44	80	Heavy Metal Paradroid
97	8.44	43	Might and Magic: Book Two - Gates to Another World
98	8.44	148	Newcomer
99	8.42	153	Boulder Dash II: Rockford's Revenge
100	8.42	45	Death Knights of Krynn
