007viewtokill	007 - A View to a Kill (Europe).png
007licencetokill	007 - Licence to Kill (Europe).png
007liveandletdie	007 - Live and Let Die (Europe).png
007livingdaylights	007 - Living Daylights, The (Europe).png
007spywholovedme	007 - Spy Who Loved Me, The (Europe).png
100000pyramid	100,000 Pyramid, The (USA, Europe).png
10thframe	10th Frame (Europe).png
11sidesoccer	11-A-Side Soccer (Europe).png
180	180 (Europe) (Budget).png
19partonebootcamp	19 Part One - Boot Camp (Europe) (2 sides).png
1942	1942 (Europe).png
1943oneyearafter	1943 - One Year After (Europe).png
1943battleofmidway	1943 - The Battle of Midway (Europe).png
1985dayafter	1985 - The Day After (Europe) (Burner).png
1994tenyearsafter	1994 - Ten Years After (Europe).png
2on1	2 on 1 (USA, Europe) (Compilation).png
221bbakerstreet	221B Baker Street (USA, Europe).png
3dconstructionkit	3D Construction Kit (Europe) (Program).png
3dgolf	3D Golf (USA, Europe).png
3dpinballpinballpower	3D Pinball - Pinball Power (Europe).png
3dpool	3D Pool (Europe).png
3dstockcars2	3D Stock Cars II (Europe).png
4thinches	4th _ Inches (Europe).png
4x4offroadracing	4x4 Off-Road Racing (USA, Europe).png
720degrees	720 Degrees (Europe).png
aceaircombatemulator	ACE - Air Combat Emulator (USA, Europe).png
ace2088	ACE 2088 (Europe).png
adidaschampionshipfootball	ADIDAS Championship Football (Europe).png
adidaschampionshiptiebreak	ADIDAS Championship Tie Break (Europe).png
atfadvancedtacticalfighter	ATF - Advanced Tactical Fighter (USA, Europe).png
atvallterrainvehiclesimulator	ATV - All Terrain Vehicle Simulator (USA, Europe) (New Release).png
atvsimulator	ATV Simulator (Europe).png
aaargh	Aaargh! (Europe).png
accoladecomicsstevekeeneprivatespy	Accolade Comics - Steve Keene, Private Spy (USA, Europe).png
ace2	Ace II (Europe).png
aceofaces	Ace of Aces (Europe).png
acrojet	Acrojet (Europe).png
actionbiker	Action Biker (Europe).png
actionfighter	Action Fighter (Europe).png
actionforce	Action Force (Europe) (Budget).png
actionservice	Action Service (USA, Europe).png
activisiondecathlon	Activision Decathlon, The (USA, Europe).png
addamsfamily	Addams Family, The (Europe).png
addictaball	Addictaball (USA, Europe).png
advancedbasketballsimulator	Advanced Basketball Simulator (Europe) (Budget).png
advanceddungeonsdragonsdragonlancedragonsofflame	Advanced Dungeons _ Dragons - Dragon Lance - Dragons of Flame (Europe).png
advanceddungeonsdragonsdragonlanceheroesoflance	Advanced Dungeons _ Dragons - Dragon Lance - Heroes of the Lance (Europe).png
advanceddungeonsdragonsdragonlancevol1championsofkrynn	Advanced Dungeons _ Dragons - Dragon Lance Vol. I - Champions of Krynn (USA, Europe).png
advanceddungeonsdragonsforgottenrealmshillsfar	Advanced Dungeons _ Dragons - Forgotten Realms - Hillsfar (USA, Europe).png
advanceddungeonsdragonsforgottenrealmsvol1poolofradiance	Advanced Dungeons _ Dragons - Forgotten Realms Vol. I - Pool of Radiance (USA, Europe) (v1.1).png
advanceddungeonsdragonsforgottenrealmsvol2curseofazurebonds	Advanced Dungeons _ Dragons - Forgotten Realms Vol. II - Curse of the Azure Bonds (USA, Europe) (v1.3).png
advanceddungeonsdragonsforgottenrealmsvol3secretofsilverblades	Advanced Dungeons _ Dragons - Forgotten Realms Vol. III - Secret of the Silver Blades (USA, Europe).png
advancedpinballsimulator	Advanced Pinball Simulator (Europe).png
advancedtacticalfighter	Advanced Tactical Fighter (USA, Europe).png
adventure1mutantspiders	Adventure 1 - The Mutant Spiders (USA, Europe).png
adventure3fourthsarcophagus	Adventure 3 - The Fourth Sarcophagus (USA, Europe).png
adventureconstructionset	Adventure Construction Set (USA, Europe).png
adventurecreator	Adventure Creator (USA, Europe).png
adventuresofbondbasildonbond	Adventures of Bond... Basildon Bond, The (Europe).png
aegeanvoyage	Aegean Voyage (USA, Europe).png
afterburner	After Burner (Europe).png
afterwar	After the War (Europe).png
aftermath	Aftermath (Europe).png
agentus	Agent U.S.A. (USA, Europe).png
agent102madprofsback	Agent X II - The Mad Prof's Back (Europe).png
airborneranger	Airborne Ranger (Europe).png
airwolf	Airwolf (Europe).png
airwolf64	Airwolf 64 (Europe).png
airwolf2	Airwolf II (Europe).png
alcazarforgottenfortress	Alcazar - The Forgotten Fortress (Europe).png
alcon	Alcon (USA).png
alffirstadventure	Alf - The First Adventure (USA, Europe).png
alfincolorcaves	Alf in the Color Caves (USA, Europe).png
aliantsdesperatebattleforearth	Aliants - The Desperate Battle for Earth (USA).png
