ghostsandgoblins	5	20992	Arcade	Ghosts_n_Goblins_1986_Elite	Ghosts 'n Goblins
lastninja	5	20554	Adventure	Last_Ninja_The_1987_System_3_Side_A	The Last Ninja
bubblebobble	5	13561	Arcade	Bubble_Bobble_1987_Firebird	Bubble Bobble
ghostbusters	5	11021	Arcade	Ghostbusters_1984_Activision	Ghostbusters
bluemax	5	8869	Shoot'em Up	Blue_Max_1985_Drean_Commodore_es	Blue Max
davidsmidnightmagic	5	6982	Arcade	Davids_Midnight_Magic_1984_Broderbund	David's Midnight Magic
turrican2	5	6874	Shoot'em Up	d64_Turrican_II_The_Final_Fight_1991_Rainbow_Arts_Side_A_t_5	Turrican II: The Final Fight
mule	5	6490	Strategy	d64_MULE_1983_Electronic_Arts	MULE
wizardofwor	5	6368	Shoot'em Up	d64_Wizard_of_Wor_1983_Commodore	Wizard of Wor
spacetaxi	5	6348	Arcade	d64_Space_Taxi_1984_Muse_Software	Space Taxi
raidovermoscow	5	5144	Shoot'em Up	d64_Raid_Over_Moscow_1984_Access_Software	Raid Over Moscow
raidonbungelingbay	5	4191	Shoot'em Up	d64_Raid_On_Bungeling_Bay_1984_Broderbund	Raid On Bungeling Bay
lastninja2	5	4135	Adventure	Last_Ninja_2_The_1988_System_3_Side_A	The Last Ninja 2
elite	5	3851	Simulation	Elite_1985_Firebird_de	Elite
sevencitiesofgold	5	3650	Adventure	d64_Seven_Cities_of_Gold_1984_Electronic_Arts_Side_A	Seven Cities of Gold
brucelee	5	3505	Arcade	Bruce_Lee_1984_Datasoft_h_TBC	Bruce Lee
greatgianasisters	5	3503	Arcade	uta_Great_Giana_Sisters_The_1987_Go_5569	Great Giana Sisters, The
archon	5	3080	Board Game	Archon_1983_Electronic_Arts_h_Duo_Asocciates	Archon
zakmckrackenandalienmindbenders	5	2938	Adventure	d64_Zak_McKracken_and_the_Alien_Mindbenders_1988_Lucasfilm_de_Disk_1_of_2_Side_A	Zak McKracken and the Alien Mindbenders
boulderdash	5	2773	Arcade	Boulder_Dash_1984_First_Star_cr_Nova	Boulder Dash
airborneranger	5	2417	Shoot'em Up	Airborne_Ranger_1987_MicroProse_de_Side_A	Airborne Ranger
microprosesoccer	5	2412	Sports	d64_Microprose_Soccer_1988_MicroProse	Microprose Soccer
commando	5	2178	Shoot'em Up	Commando_1985_Elite_h_ABC	Commando
castlesofdoctorcreep	5	2176	Arcade	Castles_of_Doctor_Creep_The_1984_Broderbund	The Castles of Doctor Creep
ik	5	2135	Sports	IK_1987_System_3_h_FLT	IK+
wizball	5	2009	Shoot'em Up	d64_Wizball_1987_Ocean	Wizball
pirates	5	1890	Adventure	d64_Pirates_1988_Edicola-Super_Game_2000_it	Pirates
thrust	5	1567	Arcade	d64_Thrust_1988_Firebird	Thrust
jumpman	5	1433	Arcade	Jumpman_1984_Hans_Zethofe_de	Jumpman
spyversusspy	5	1410	Strategy	spyvsspy_c64	Spy vs. Spy
wayofexplodingfist	5	1129	Sports	d64_Way_of_the_Exploding_Fist_The_1985_Melbourne_House	The Way of the Exploding Fist
defenderofcrown	5	1115	Strategy	Defender_of_the_Crown_1987_Cinemaware_Side_A_cr_ESI	Defender of the Crown
wintergames	5	1077	Sports	uta_Winter_Games_1989_Kixx_1430	Winter Games
armalyte	5	1051	Shoot'em Up	Armalyte_1988_Thalamus_h_DOM	Armalyte
hoverbovver	5	1033	Arcade	Hover_Bovver_1983_Llamasoft	Hover Bovver
mercenary	5	1024	Adventure	d64_Mercenary_1985_Novagen_Software	Mercenary
paradroid	5	1006	Shoot'em Up	uta_Paradroid_1985_Hewson_Consultants_205	Paradroid
pipemania	5	953	Brain	d64_Pipe_Mania_1989_Empire	Pipe Mania
californiagames	5	939	Sports	uta_California_Games_1987_U.S._Gold_758	California Games
lastninja3	5	921	Adventure	Last_Ninja_2_The_1988_System_3_Disk_1_of_2_Side_A	The Last Ninja 3
summergames	5	908	Sports	uta_Summer_Games_1984_U.S._Gold_18895	Summer Games
turrican	5	845	Shoot'em Up	d64_Turrican_1990_Rainbow_Arts_Side_A_t_7	Turrican
hawkeye	5	831	Arcade	c64_hawkeye	hawkeye
delta	5	818	Shoot'em Up	Delta_1987_Thalamus_h_Reflex	Delta
uridium	5	770	Shoot'em Up	uta_Uridium_1986_Hewson_Consultants_208	Uridium
impossiblemission	5	764	Arcade	uta_Impossible_Mission_1984_CBS_Software_2689	Impossible Mission
beachhead	5	728	Shoot'em Up	Beach_Head_1983_Access_Software	Beach Head
worldgames	5	695	Sports	uta_World_Games_1988_Kixx_1432	World Games
greenberet	5	684	Shoot'em Up	uta_Green_Beret_1986_Imagine_4152	Green Beret
loderunner	5	677	Arcade	Lode_Runner_Conrads_Levels_1983_-	Lode Runner: Conrad's Levels
mayheminmonsterland	5	668	Arcade	Mayhem_in_Monsterland_1993_Apex_cr_Active_t_4_Active	Mayhem in Monsterland
ultimatewizard	5	602	Arcade	d64_Ultimate_Wizard_1986_Electronic_Arts_Side_A	Ultimate Wizard
jumpmanjunior	5	576	Arcade	Jumpman_Junior_1983_Epyx_cr_Antirom	Jumpman Junior
summergames2	5	538	Sports	uta_Summer_Games_II_1985_U.S._Gold_1093	Summer Games II
maniacmansion	5	537	Adventure	Maniac_Mansion_1987_Lucasfilm_de_Side_A_cr_TSK	Maniac Mansion
pitstop2	5	527	Racing	uta_Pitstop_II_1984_U.S._Gold_1044	Pitstop II
emlynhughesinternationalsoccer	5	518	Sports	Emlyn_Hughes_International_Soccer_1988_Audiogenic_Software_cr_Ikari	Emlyn Hughes International Soccer
hero	5	478	Arcade	H.E.R.O._1984_Activision_cr_1404	H.E.R.O.
creatures	5	467	Arcade	Creatures_1990_Thalamus_cr_EMP_t_2_Manowar	Creatures
barbarian	5	440	Arcade	Barbarian_1987_Palace_Software_cr_RDI	Barbarian
spindizzy	5	439	Arcade	Spindizzy_1986_Electric_Dreams_cr_Newcomers	Spindizzy
ladytut	5	402	Arcade	Lady_Tut_19xx_Progame	Lady Tut
gijoe	5	392	Shoot'em Up	GI_Joe_1985_Epyx_cr_REM_t_7	GI Joe
deltapatrol	5	388	Shoot'em Up	Delta_Patrol_1987_Electronic_ArtsThalamus	Delta Patrol
atomino	5	377	Brain	Atomino_1990_Psygnosis_cr_Paramount_Random	Atomino
elite128	5	376	Simulation	Elite_128_1985_Firebird_de-en	Elite 128
internationalsoccer	5	361	Sports	International_Soccer_1983_Commodore_cr_MCG_Public_Enemy	International Soccer
splitpersonalities	5	317	Brain	d64_Split_Personalities_1986_Domark	Split Personalities
katakis	5	298	Shoot'em Up	Katakis_1988_Rainbow_Arts_cr_CPX	Katakis
pipedream	5	203	Brain	Pipe_Dream_1989_Lucasfilm_cr_LRU	Pipe Dream
thrustgold	5	125	Arcade	Thrust_Gold_2001_-_cr_The_Dreams	Thrust Gold
wavynavy	4	389	Shoot'em Up	d64_Wavy_Navy_1983_Sirius_Software	Wavy Navy
highrise	4	227	Arcade	High_Rise_1986_Compute	High Rise
pacman	1	14194	Arcade	d64_Pac-Man_1983_Atari	Pac-Man
breakout	1	1338	Arcade	Breakout_1987_Rejhon_M._D.	Breakout
ufo	1	1137	Shoot'em Up	d64_UFO_1987_Odin_Computer_Graphics	UFO
fishbone	1	270	Shoot'em Up	Fishbone_2007_Black_Turk	Fishbone
shots	1	263	Arcade	Shots_19xx_Eaglewing_Software_cr_Peterbonds	Shots
alfabet	1	251	Brain	Alfabet_19xx_-_de	Alfabet
blocks	1	247	Brain	Blocks_1986_Robtek	Blocks
connectfive	1	244	Brain	Connect_Five_198x_-_de	Connect Five
dodge	1	193	Arcade	Dodge_19xx_Eric_Willems_nl	Dodge
afo	1	170	Shoot'em Up	c64_AFO	AFO
potshotsandsubsinker	1	147	Shoot'em Up	Pot_Shots_Sub_Sinker_1984_Doubleday_Australia_cr_ASS	Pot Shots & Sub Sinker
poppleschristmasadventure	0	67369		d64_Popples_Christmas_Adventure_A_1986_American_Greetings	A Popples Christmas Adventure
castlewolfenstein	0	30552	Adventure	Castle_Wolfenstein_1983_Muse_Software	Castle Wolfenstein
riverraid	0	29926	Shoot'em Up	d64_River_Raid_1984_Activision	River Raid
outrun	0	27613	Racing	d64_Out_Run_1988_U.S._Gold	Out Run
choplifter	0	22553	Shoot'em Up	Choplifter_1982_Broderbund_de	Choplifter!
grannysgarden	0	12079	Adventure	Grannys_Garden_v2.0_1987_Stchel_Software	Granny's Garden v2.0
sexsexsex	0	11458	Shoot'em Up	Sex_Sex_Sex_19xx_-	Sex Sex Sex
simcity	0	11326	Strategy	d64_Sim_City_1989_Maxis	Sim City
burgertime	0	10733	Arcade	Burger_Time_1984_Interceptor_Micros	Burger Time
portal	0	10586	Adventure	portal_v1_ntsc	Portal
kaiser	0	9458	Strategy	Kaiser_1985_Ariolasoft_de	Kaiser
oregontrail	0	8871	Miscellaneous	d64_Oregon_Trail_19xx_-	Oregon Trail
gunship	0	8460	Simulation	Gunship_1986_MicroProse	Gunship
wingsoffury	0	8429	Shoot'em Up	d64_Wings_of_Fury_1990_Broderbund	Wings of Fury
internationalkarate	0	7917	Sports	International_Karate_1986_System_3	International Karate
alteredbeast	0	7493	Arcade	Altered_Beast_1989_Activision_Side_A	Altered Beast
spaceinvaders	0	7317	Shoot'em Up	d64_Space_Invaders_1983_Keypunch_Software	Space Invaders
mariobrothers	0	7234	Arcade	d64_Mario_Bros_1987_Ocean	Mario Bros
qbert	0	7049	Arcade	d64_Q-Bert_1983_Parker_Brothers	Q*Bert
ghostbusters2	0	6887	Arcade	Ghostbusters_II_1989_Activision_f_NTSC_Exodus_h_CEN_Digital_Dungeon	Ghostbusters II
starwars	0	6489	Shoot'em Up	d64_Star_Wars_1983_Atari	Star Wars
rambo	0	6372	Shoot'em Up	d64_Rambo_First_Blood_Part_II_1986_Ocean	Rambo: First Blood Part II
montezumasrevenge	0	6049	Arcade	d64_Montezumas_Revenge_1984_Parker_Brothers	Montezuma's Revenge
airwolf	0	5840	Shoot'em Up	Airwolf_1985_Elite	Airwolf
goonies	0	5816	Arcade	uta_Goonies_The_1986_American_Action_AB_6951	Goonies, The
gauntlet	0	5781	Shoot'em Up	Gauntlet_1986_U.S._Gold	Gauntlet
backtofuture2	0	5677	Arcade	Back_to_the_Future_II_1990_Imageworks	Back to the Future II
bcsquestfortires	0	5647	Arcade	BCs_Quest_for_Tires_1983_Sierra_Online	BC's Quest for Tires
batman	0	5639	Adventure	Batman_1989_Ocean_Side_A	Batman
oilimperium	0	5624	Strategy	d64_Oil_Imperium_1994_reLine_Software_de_Side_A	Oil Imperium
fixitfelixjunior	0	5598	Arcade	felix_c64	Fix-It-Felix Jr.
64breakout	0	5597	Arcade	64_Breakout_19xx_-	64 Breakout
championshiploderunner	0	5414	Arcade	Championship_Lode_Runner_1984_Broderbund	Championship Lode Runner
flightsimulator2	0	5142	Simulation	Flight_Simulator_II_1984_Sublogic	Flight Simulator II
1943	0	5025	Shoot'em Up	1943_The_Battle_of_Midway_1988_Capcom_h_DOM	1943: The Battle of Midway
crazycars	0	4829	Racing	Crazy_Cars_1988_Titus_Software	Crazy Cars
superpipeline	0	4826	Arcade	d64_Super_Pipeline_1983_Taskset	Super Pipeline
grandprixcircuit	0	4741	Racing	Grand_Prix_Circuit_1989_Accolade	Grand Prix Circuit
bundesligamanager	0	4640	Sports	Bundesliga_Manager_1991_Software_2000_de	Bundesliga Manager
littlecomputerpeople	0	4517	Miscellaneous	Little_Computer_People_1985_Activision	Little Computer People
spyhunter	0	4273	Racing	d64_Spy_Hunter_1983_U.S._Gold	Spy Hunter
frogger	0	4241	Arcade	Frogger_1981_Sega	Frogger
pitfall	0	4239	Arcade	d64_Pitfall_1984_Activision	Pitfall
labyrinth	0	4180	Brain	uta_Labyrinth_1986_Activision_2904	Labyrinth
beachhead2	0	4018	Shoot'em Up	Beach_Head_2_1985_Access_Software_o	Beach Head 2
silentservice	0	3994	Simulation	d64_Silent_Service_1985_MicroProse	Silent Service
kungfu	0	3919	Sports	Kung-Fu_The_Way_of_the_Exploding_Fist_1985_Melbourne_House	Kung-Fu: The Way of the Exploding Fist
axeofrage	0	3883	Arcade	Axe_of_Rage_1988_Epyx	Axe of Rage
amazingspiderman	0	3858	Arcade	Amazing_Spider-Man_The_1990_ODE_de-es-fr-it	Amazing Spider Man, The
mspacman	0	3811	Arcade	d64_Ms._Pac-Man_1984_Atari	Ms. Pac-Man
elvira2	0	3809	Adventure	Elvira_II_1995_Flair_Software_de_Disk_1_of_4_Side_A	Elvira II
indianajonesandlastcrusade	0	3800	Arcade	Indiana_Jones_and_the_Last_Crusade_1989_U.S._Gold_h_SCI	Indiana Jones and the Last Crusade
strippoker2	0	3608	Cards	d64_Strip_Poker_II_1985_Data_Stream	Strip Poker II
testdrive	0	3591	Racing	d64_Test_Drive_1987_Accolade_Side_A	Test Drive
gianasisters2	0	3574	Arcade	Giana_Sisters_2_1989_New_Wave	Giana Sisters 2
fugger	0	3543	Strategy	Fugger_1988_Bomico_de	Fugger
lemmings	0	3490	Arcade	Lemmings_1994_Psygnosis_Disk_1_of_3_Side_A	Lemmings
sonichedgehog	0	3453	Arcade	sonic_c64	Sonic the Hedgehog
elevatoraction	0	3452	Shoot'em Up	Elevator_Action_1987_Taito	Elevator Action
fire	0	3452	Shoot'em Up	Fire_1996-04-07_The_Art_Project_Studios	Fire
fortapocalypse	0	3452	Shoot'em Up	Fort_Apocalypse_1982_Synapse_Software	Fort Apocalypse
loderunnercom	0	3452	Arcade	Lode_Runner_Com._19xx_Doug_Smith_Dane_Bigham_4711-Soft	Lode Runner Com.
soccer	0	3409	Sports	d64_Soccer_1983_Commodore	Soccer
paperboy	0	3397	Arcade	d64_Paperboy_1986_Elite	Paperboy
fuckman	0	3273	Arcade	Fuckman_1984_SGL_GAA	Fuckman
battlezone	0	3206	Shoot'em Up	Battlezone_1984_Atari	Battlezone
greatgianasistersremix	0	3202	Arcade	Great_Giana_Sisters_Remix_The_1991_Brego_Paramount	The Great Giana Sisters Remix
forbiddenforest	0	3088	Shoot'em Up	Forbidden_Forest_1983_Cosmi	Forbidden Forest
mafia	0	3060	Strategy	d64_Mafia_1986_Igelsoft_de	Mafia
superpacman	0	3036	Arcade	d64_Super_Pac-Man_1988_Namco	Super Pac-Man
